cellarURIs,lang,mtypes,workTypes,subjects,subject_ids
http://publications.europa.eu/resource/cellar/154ad301-e30d-4cc2-b765-ec4288baf5fe,ENG,html,http://publications.europa.eu/ontology/cdm#decision,VAT|VAT rate,http://eurovoc.europa.eu/4392|http://eurovoc.europa.eu/4585
http://publications.europa.eu/resource/cellar/b7988c5e-c134-45a5-be0a-a4f71328d60e,ENG,html,http://publications.europa.eu/ontology/cdm#decision,VAT,http://eurovoc.europa.eu/4585
http://publications.europa.eu/resource/cellar/edb03fda-8fb9-42e1-afea-a1313f72a1fd,ENG,html,http://publications.europa.eu/ontology/cdm#decision,European System of Central Banks|banking|banking policy|central bank,http://eurovoc.europa.eu/2149|http://eurovoc.europa.eu/2447|http://eurovoc.europa.eu/4763|http://eurovoc.europa.eu/5883
http://publications.europa.eu/resource/cellar/d8069ebb-8294-11e3-9b7d-01aa75ed71a1,ENG,xhtml,http://publications.europa.eu/ontology/cdm#decision,banking policy|central bank,http://eurovoc.europa.eu/2447|http://eurovoc.europa.eu/4763
http://publications.europa.eu/resource/cellar/63370dbb-80e3-11e2-9294-01aa75ed71a1,ENG,xhtml,http://publications.europa.eu/ontology/cdm#regulation,import price,http://eurovoc.europa.eu/2635
http://publications.europa.eu/resource/cellar/22b40e75-2d69-43bf-876b-66ea343b7dca,ENG,html,http://publications.europa.eu/ontology/cdm#regulation,fixing of prices,http://eurovoc.europa.eu/1025
http://publications.europa.eu/resource/cellar/575dd95f-7012-4d1e-a7c4-cb6e3dad48fd,ENG,xhtml,http://publications.europa.eu/ontology/cdm#regulation,import price,http://eurovoc.europa.eu/2635
http://publications.europa.eu/resource/cellar/4491729d-1a40-4407-8bc1-4dd013f83cc4,ENG,xhtml,http://publications.europa.eu/ontology/cdm#guideline_ecb,central bank|euro area|paper money,http://eurovoc.europa.eu/1972|http://eurovoc.europa.eu/4763|http://eurovoc.europa.eu/6151
http://publications.europa.eu/resource/cellar/e634c48a-f922-408f-8e84-4931702a0e50,ENG,xhtml,http://publications.europa.eu/ontology/cdm#regulation,import price,http://eurovoc.europa.eu/2635
http://publications.europa.eu/resource/cellar/d009fd4f-ce58-41cf-b4c3-b11ae469f404,ENG,html,http://publications.europa.eu/ontology/cdm#directive,VAT|excise duty,http://eurovoc.europa.eu/1015|http://eurovoc.europa.eu/4585
http://publications.europa.eu/resource/cellar/66b2e9c8-7167-45bf-999e-a7947590fd39,ENG,xhtml,http://publications.europa.eu/ontology/cdm#guideline_ecb,central bank|paper money,http://eurovoc.europa.eu/1972|http://eurovoc.europa.eu/4763
http://publications.europa.eu/resource/cellar/8276cb26-55a2-43d3-a441-f80699fd8dbe,ENG,html,http://publications.europa.eu/ontology/cdm#act_preparatory,foreign investment,http://eurovoc.europa.eu/1492
http://publications.europa.eu/resource/cellar/298670e3-f1e1-46c5-a80d-b0cb84547cc1,ENG,html,http://publications.europa.eu/ontology/cdm#regulation,stock-exchange listing,http://eurovoc.europa.eu/248
http://publications.europa.eu/resource/cellar/8488fa94-2eff-4cdf-9004-be3de8051e93,ENG,html,http://publications.europa.eu/ontology/cdm#regulation,market prices,http://eurovoc.europa.eu/2656
http://publications.europa.eu/resource/cellar/65b3eeef-2119-11e8-ac73-01aa75ed71a1,ENG,xhtml,http://publications.europa.eu/ontology/cdm#act_preparatory,financial instrument|financial legislation|financial transaction|securities,http://eurovoc.europa.eu/1459|http://eurovoc.europa.eu/4491|http://eurovoc.europa.eu/4646|http://eurovoc.europa.eu/560
http://publications.europa.eu/resource/cellar/e116bb4c-90f8-4903-adc1-9e83177e4337,ENG,html,http://publications.europa.eu/ontology/cdm#decision,financing plan,http://eurovoc.europa.eu/2394
http://publications.europa.eu/resource/cellar/daff69ba-48c2-4e30-8582-47ccaee979e0,ENG,xhtml,http://publications.europa.eu/ontology/cdm#regulation,import price,http://eurovoc.europa.eu/2635
http://publications.europa.eu/resource/cellar/5bf59094-b64d-4a1e-88d6-e82137141047,ENG,html,http://publications.europa.eu/ontology/cdm#act_preparatory,financial instrument,http://eurovoc.europa.eu/1459
http://publications.europa.eu/resource/cellar/afc9b180-2289-4537-9331-e30cf57ceb84,ENG,html,http://publications.europa.eu/ontology/cdm#act_preparatory,financial instrument,http://eurovoc.europa.eu/1459
http://publications.europa.eu/resource/cellar/36bf9918-3035-4f2c-8ae1-80c99f60fcc2,ENG,html,http://publications.europa.eu/ontology/cdm#decision,redemption,http://eurovoc.europa.eu/3263
http://publications.europa.eu/resource/cellar/7371f8e3-5825-11e3-a8cb-01aa75ed71a1,ENG,xhtml,http://publications.europa.eu/ontology/cdm#act_preparatory,corporation tax|tax exemption,http://eurovoc.europa.eu/1331|http://eurovoc.europa.eu/935
http://publications.europa.eu/resource/cellar/4eb538d3-dfcb-4cba-a8a3-fc4831a51682,ENG,html,http://publications.europa.eu/ontology/cdm#act_preparatory,Economic and Monetary Union|investment policy,http://eurovoc.europa.eu/2463|http://eurovoc.europa.eu/4602
http://publications.europa.eu/resource/cellar/306bab61-f063-4545-8c2a-3f83a3e6693b,ENG,xhtml,http://publications.europa.eu/ontology/cdm#regulation,import price,http://eurovoc.europa.eu/2635
http://publications.europa.eu/resource/cellar/f0afb18e-331b-4ed7-a0c2-e5a1a614da6e,ENG,xhtml,http://publications.europa.eu/ontology/cdm#regulation,import price,http://eurovoc.europa.eu/2635
http://publications.europa.eu/resource/cellar/71c97b0f-4a19-40b1-9832-ccf7a0884e90,ENG,html,http://publications.europa.eu/ontology/cdm#regulation,interest,http://eurovoc.europa.eu/1476
http://publications.europa.eu/resource/cellar/0f322a69-25c6-47f3-a4c1-1e710dc24276,ENG,html,http://publications.europa.eu/ontology/cdm#regulation,import price,http://eurovoc.europa.eu/2635
http://publications.europa.eu/resource/cellar/a26bb115-f34c-4174-b448-3d8b66a772ca,ENG,html,http://publications.europa.eu/ontology/cdm#regulation,fixing of prices|minimum price|selling price,http://eurovoc.europa.eu/1025|http://eurovoc.europa.eu/2664|http://eurovoc.europa.eu/2681
http://publications.europa.eu/resource/cellar/7c6fa609-e65f-11e3-8cd4-01aa75ed71a1,ENG,xhtml,http://publications.europa.eu/ontology/cdm#decision|http://publications.europa.eu/ontology/cdm#decision_implementing,credit institution,http://eurovoc.europa.eu/3246
http://publications.europa.eu/resource/cellar/918fe728-76db-11e4-b593-01aa75ed71a1,ENG,xhtml,http://publications.europa.eu/ontology/cdm#decision|http://publications.europa.eu/ontology/cdm#decision_implementing,VAT,http://eurovoc.europa.eu/4585
http://publications.europa.eu/resource/cellar/0f924b08-623d-411b-bec6-1ad15c30fc9e,ENG,html,http://publications.europa.eu/ontology/cdm#regulation,import price,http://eurovoc.europa.eu/2635
http://publications.europa.eu/resource/cellar/ead2d8a9-e413-4fa9-91f5-4e5e538943cc,ENG,html,http://publications.europa.eu/ontology/cdm#act_preparatory,market prices,http://eurovoc.europa.eu/2656
http://publications.europa.eu/resource/cellar/a25dea0c-a54f-11e3-8438-01aa75ed71a1,ENG,html,http://publications.europa.eu/ontology/cdm#act_preparatory,indebtedness,http://eurovoc.europa.eu/742
http://publications.europa.eu/resource/cellar/767188ad-59d0-42a4-8c5d-820e28378915,ENG,xhtml,http://publications.europa.eu/ontology/cdm#regulation,import price,http://eurovoc.europa.eu/2635
http://publications.europa.eu/resource/cellar/3273eb28-3800-4e7d-8ba8-8da4d0eedf86,ENG,xhtml,http://publications.europa.eu/ontology/cdm#act_preparatory,investment promotion,http://eurovoc.europa.eu/2805
http://publications.europa.eu/resource/cellar/4ebf3450-4034-4c3d-a36b-927f45420c64,ENG,html,http://publications.europa.eu/ontology/cdm#decision,tax exemption,http://eurovoc.europa.eu/935
http://publications.europa.eu/resource/cellar/bad01696-d51b-11e4-9de8-01aa75ed71a1,ENG,xhtml,http://publications.europa.eu/ontology/cdm#decision,credit institution|excise duty,http://eurovoc.europa.eu/1015|http://eurovoc.europa.eu/3246
http://publications.europa.eu/resource/cellar/9e8c02bf-a244-4226-bb66-d0b1e06b21f5,ENG,xhtml,http://publications.europa.eu/ontology/cdm#regulation,minimum price|selling price,http://eurovoc.europa.eu/2664|http://eurovoc.europa.eu/2681
http://publications.europa.eu/resource/cellar/5f43d34a-bd23-4d05-9e09-78920d60ae64,ENG,html,http://publications.europa.eu/ontology/cdm#act_preparatory,indebtedness,http://eurovoc.europa.eu/742
http://publications.europa.eu/resource/cellar/e8a8b86d-9590-4f33-bc3d-6e900f9b20d4,ENG,xhtml,http://publications.europa.eu/ontology/cdm#regulation,representative price,http://eurovoc.europa.eu/2687
http://publications.europa.eu/resource/cellar/5414f610-d866-449a-bd78-d7e557d50813,ENG,html,http://publications.europa.eu/ontology/cdm#decision,VAT,http://eurovoc.europa.eu/4585
http://publications.europa.eu/resource/cellar/2887f428-6ec4-11e2-9294-01aa75ed71a1,ENG,xhtml,http://publications.europa.eu/ontology/cdm#regulation,import price,http://eurovoc.europa.eu/2635
http://publications.europa.eu/resource/cellar/12613671-cb07-4716-b30e-f3cf0d553d02,ENG,xhtml,http://publications.europa.eu/ontology/cdm#decision,bank|share,http://eurovoc.europa.eu/4738|http://eurovoc.europa.eu/5362
http://publications.europa.eu/resource/cellar/7cca0290-44d0-4714-92bd-e05227aaf137,ENG,xhtml,http://publications.europa.eu/ontology/cdm#decision,European System of Central Banks|central bank|euro area,http://eurovoc.europa.eu/4763|http://eurovoc.europa.eu/5883|http://eurovoc.europa.eu/6151
http://publications.europa.eu/resource/cellar/7da893d3-b42b-4598-8230-c04a771cd8a8,ENG,html,http://publications.europa.eu/ontology/cdm#decision,VAT,http://eurovoc.europa.eu/4585
http://publications.europa.eu/resource/cellar/5df1b415-6a46-42a3-8b44-44c9837a34cf,ENG,html,http://publications.europa.eu/ontology/cdm#decision,VAT,http://eurovoc.europa.eu/4585
http://publications.europa.eu/resource/cellar/7ace2643-bace-4de7-b707-1443ec2b2b50,ENG,xhtml,http://publications.europa.eu/ontology/cdm#regulation,import price,http://eurovoc.europa.eu/2635
http://publications.europa.eu/resource/cellar/aeb42a18-8d59-4865-b900-bb1128dc19dd,ENG,xhtml,http://publications.europa.eu/ontology/cdm#regulation,import price,http://eurovoc.europa.eu/2635
http://publications.europa.eu/resource/cellar/eaad4938-4962-4180-8ac9-ef12fa8c4efd,ENG,xhtml,http://publications.europa.eu/ontology/cdm#regulation,import price,http://eurovoc.europa.eu/2635
http://publications.europa.eu/resource/cellar/c2c94049-9237-4de3-84b3-ea24681a89dc,ENG,html,http://publications.europa.eu/ontology/cdm#act_preparatory,excise duty,http://eurovoc.europa.eu/1015
http://publications.europa.eu/resource/cellar/4407edae-a4f3-4079-970a-3e8a3c9332bd,ENG,html,http://publications.europa.eu/ontology/cdm#decision,exchange rate,http://eurovoc.europa.eu/4390
http://publications.europa.eu/resource/cellar/91439eb7-82e3-441f-a212-84d09723cc9f,ENG,html,http://publications.europa.eu/ontology/cdm#regulation,representative price,http://eurovoc.europa.eu/2687
http://publications.europa.eu/resource/cellar/e3e05423-c412-464a-8069-7580adf4dbf5,ENG,html,http://publications.europa.eu/ontology/cdm#regulation,foreign capital,http://eurovoc.europa.eu/5240
http://publications.europa.eu/resource/cellar/328f55b6-8291-11e3-9b7d-01aa75ed71a1,ENG,xhtml,http://publications.europa.eu/ontology/cdm#decision,European System of Central Banks|banking policy|central bank|euro area,http://eurovoc.europa.eu/2447|http://eurovoc.europa.eu/4763|http://eurovoc.europa.eu/5883|http://eurovoc.europa.eu/6151
http://publications.europa.eu/resource/cellar/ce03c6b0-cdb4-11e6-ad7c-01aa75ed71a1,ENG,xhtml,http://publications.europa.eu/ontology/cdm#act_preparatory,banking supervision|credit institution|financial intervention|financial services,http://eurovoc.europa.eu/1485|http://eurovoc.europa.eu/3246|http://eurovoc.europa.eu/3251|http://eurovoc.europa.eu/8469
http://publications.europa.eu/resource/cellar/94253d7e-633e-4142-acd2-03a0f530d314,ENG,html,http://publications.europa.eu/ontology/cdm#act_preparatory,investment project,http://eurovoc.europa.eu/2798
http://publications.europa.eu/resource/cellar/1257afd8-54e1-11e6-89bd-01aa75ed71a1,ENG,xhtml,http://publications.europa.eu/ontology/cdm#act_preparatory,credit institution|financial legislation|financial market,http://eurovoc.europa.eu/1804|http://eurovoc.europa.eu/3246|http://eurovoc.europa.eu/560
http://publications.europa.eu/resource/cellar/72d4ab9f-0a68-422f-a416-6cf9ef7ab1d8,ENG,html,http://publications.europa.eu/ontology/cdm#regulation,world market price,http://eurovoc.europa.eu/2668
http://publications.europa.eu/resource/cellar/da9189ed-9e67-41db-b694-2e6163a66fbc,ENG,html,http://publications.europa.eu/ontology/cdm#regulation,import price,http://eurovoc.europa.eu/2635
http://publications.europa.eu/resource/cellar/c64e90e7-c566-460e-bdd2-7f9826f5e61f,ENG,xhtml,http://publications.europa.eu/ontology/cdm#act_preparatory,Economic and Monetary Union,http://eurovoc.europa.eu/4602
http://publications.europa.eu/resource/cellar/6b9c5d2d-18e3-4d8e-90cf-f0af5113997a,ENG,html,http://publications.europa.eu/ontology/cdm#act_preparatory,VAT,http://eurovoc.europa.eu/4585
http://publications.europa.eu/resource/cellar/547919e8-fff1-11e2-a352-01aa75ed71a1,ENG,html,http://publications.europa.eu/ontology/cdm#act_preparatory,VAT|excise duty,http://eurovoc.europa.eu/1015|http://eurovoc.europa.eu/4585
http://publications.europa.eu/resource/cellar/07f4d4b3-1a93-41fe-b298-74f65ae50517,ENG,html,http://publications.europa.eu/ontology/cdm#decision,selling price,http://eurovoc.europa.eu/2664
